File: ferro-gw
Build ID: 03685a972842b301917b73b757b68b086fefc884
Type: cpu
Time: 2026-03-26 04:41:12 UTC
Duration: 30.15s, Total samples = 9.90s (32.83%)
Showing nodes accounting for 7.35s, 74.24% of 9.90s total
Dropped 432 nodes (cum <= 0.05s)
      flat  flat%   sum%        cum   cum%
     0.01s   0.1% 71.31%      1.36s 13.74%  net/http.(*Server).Serve
     0.01s   0.1% 71.41%      0.39s  3.94%  net/http.(*Transport).roundTrip
     0.01s   0.1% 71.52%      0.14s  1.41%  net/http.(*chunkWriter).writeHeader
     0.01s   0.1% 71.62%      5.52s 55.76%  net/http.(*conn).serve
     0.01s   0.1% 71.72%      0.19s  1.92%  net/http.(*conn).setState
     0.01s   0.1% 71.82%      0.07s  0.71%  net/http.(*persistConn).readLoop.func2
     0.01s   0.1% 71.92%      0.05s  0.51%  net/http.(*response).write
     0.01s   0.1% 72.02%      0.05s  0.51%  net/http.NewRequestWithContext
     0.01s   0.1% 72.12%      0.49s  4.95%  net/http.persistConnWriter.Write
     0.01s   0.1% 72.22%      0.41s  4.14%  net/http.readRequest
     0.01s   0.1% 72.32%      0.20s  2.02%  net/textproto.(*Reader).readLineSlice
     0.01s   0.1% 72.42%      0.10s  1.01%  net/textproto.MIMEHeader.Set (inline)
     0.01s   0.1% 72.53%      0.15s  1.52%  net/textproto.readMIMEHeader
     0.01s   0.1% 72.63%      0.32s  3.23%  runtime.(*unwinder).next
     0.01s   0.1% 72.73%      0.05s  0.51%  runtime.SetFinalizer
     0.01s   0.1% 72.83%      0.34s  3.43%  runtime.bgsweep
     0.01s   0.1% 72.93%      0.07s  0.71%  runtime.chansend
     0.01s   0.1% 73.03%      0.68s  6.87%  runtime.copystack
     0.01s   0.1% 73.13%      0.27s  2.73%  runtime.gcDrain
     0.01s   0.1% 73.23%      0.08s  0.81%  runtime.mapaccess2
     0.01s   0.1% 73.33%      1.09s 11.01%  runtime.mcall
     0.01s   0.1% 73.43%      0.17s  1.72%  runtime.pcdatavalue
     0.01s   0.1% 73.54%      1.05s 10.61%  runtime.schedule
     0.01s   0.1% 73.64%      0.91s  9.19%  runtime.systemstack
     0.01s   0.1% 73.74%      0.22s  2.22%  runtime.unlock (inline)
     0.01s   0.1% 73.84%      0.23s  2.32%  runtime.wakep
     0.01s   0.1% 73.94%      2.73s 27.58%  syscall.RawSyscall6
     0.01s   0.1% 74.04%      2.23s 22.53%  syscall.Syscall
     0.01s   0.1% 74.14%      0.91s  9.19%  syscall.Syscall6
     0.01s   0.1% 74.24%      0.50s  5.05%  syscall.read
         0     0% 74.24%      0.19s  1.92%  bufio.(*Reader).ReadLine
         0     0% 74.24%      0.58s  5.86%  bufio.(*Reader).fill
         0     0% 74.24%      0.05s  0.51%  context.(*cancelCtx).Done
         0     0% 74.24%      0.06s  0.61%  context.(*cancelCtx).cancel
         0     0% 74.24%      0.08s  0.81%  context.(*cancelCtx).propagateCancel
         0     0% 74.24%      0.05s  0.51%  context.WithCancelCause
         0     0% 74.24%      0.09s  0.91%  context.withCancel (inline)
         0     0% 74.24%      0.05s  0.51%  crypto/rand.Read
         0     0% 74.24%      0.12s  1.21%  encoding/json.(*Decoder).refill
